Edge1-Edge2	KappaScore
GO:0019222 (term-term) GO:0019219	0.865181711606096
GO:0019222 (term-term-ontology) GO:0009892	2.0
GO:0019438 (term-term) GO:0003700	0.5517353389470528
GO:0019438 (term-term) GO:0006139	0.604456079338085
GO:0019438 (term-term) GO:0006351	0.7865379707185781
GO:0019438 (term-term) GO:0006355	0.7634132086499124
GO:0019438 (term-term) GO:0009059	0.6095649258110488
GO:0019438 (term-term) GO:0010467	0.5124789592901227
GO:0019438 (term-term) GO:0010468	0.6638636568036694
GO:0019438 (term-term) GO:0016070	0.5734021233957276
GO:0019438 (term-term) GO:0018130	0.9456871753037654
GO:0019438 (term-term) GO:0019219	0.7487098423915571
GO:0019438 (term-term) GO:0019222	0.6368044126150972
GO:0031323 (term-term) GO:0003700	0.6868173952511986
GO:0031323 (term-term) GO:0006139	0.45283272259846896
GO:0031323 (term-term) GO:0006351	0.8951075527629279
GO:0031323 (term-term) GO:0006355	0.9174887892376683
GO:0031323 (term-term) GO:0009059	0.693641366058171
GO:0031323 (term-term) GO:0010467	0.6824232486893487
GO:0031323 (term-term) GO:0010468	0.8943321404391141
GO:0031323 (term-term) GO:0016070	0.6757373674081368
GO:0031323 (term-term) GO:0018130	0.6828805207721169
GO:0031323 (term-term) GO:0019219	0.9357182783678033
GO:0031323 (term-term) GO:0019222	0.9288467945361955
GO:0031323 (term-term) GO:0019438	0.6961898471839486
GO:0031323 (term-term-ontology) GO:0019219	2.0
GO:0031323 (term-term-ontology) GO:0019222	2.0
GO:0031324 (term-term) GO:0009892	0.9172661870503593
GO:0031324 (term-term) GO:0010605	0.8616541353383459
GO:0031324 (term-term-ontology) GO:0009892	2.0
GO:0031324 (term-term-ontology) GO:0031323	2.0
GO:0031326 (term-term) GO:0003700	0.7183427121905706
GO:0031326 (term-term) GO:0006139	0.4523914671377277
GO:0031326 (term-term) GO:0006351	0.9287613246263843
GO:0031326 (term-term) GO:0006355	0.9519268451992162
GO:0031326 (term-term) GO:0009059	0.7214392671540563
GO:0031326 (term-term) GO:0010467	0.6999804335065332
GO:0031326 (term-term) GO:0010468	0.9153000098202889
GO:0031326 (term-term) GO:0016070	0.7036752407214865
GO:0031326 (term-term) GO:0018130	0.7110156714031161
GO:0031326 (term-term) GO:0019219	0.9345000776678921
GO:0031326 (term-term) GO:0019222	0.8945310614471208
GO:0031326 (term-term) GO:0019438	0.7245699283789697
GO:0031326 (term-term) GO:0031323	0.9654247989376896
GO:0031326 (term-term-ontology) GO:0031323	2.0
GO:0031327 (term-term) GO:0009892	0.8618099887345098
GO:0031327 (term-term) GO:0010605	0.8732882102943489
GO:0031327 (term-term) GO:0031324	0.9439024390243905
GO:0031327 (term-term-ontology) GO:0031324	2.0
GO:0031327 (term-term-ontology) GO:0031326	2.0
GO:0031328 (term-term) GO:0010557	1.0
GO:0031328 (term-term) GO:0010604	0.947733212134985
GO:0031328 (term-term-ontology) GO:0031326	2.0
GO:0034654 (term-term) GO:0003700	0.5845054065911378
GO:0034654 (term-term) GO:0006139	0.6392294890678502
GO:0034654 (term-term) GO:0006351	0.825306781229973
GO:0034654 (term-term) GO:0006355	0.8017953321364453
GO:0034654 (term-term) GO:0009059	0.6443098042538767
GO:0034654 (term-term) GO:0010467	0.5462653990639886
GO:0034654 (term-term) GO:0010468	0.6996150673632116
