"Name" "Fold_change" "Fold_change_us" "Condition"
"87" "Rv1289" -0.584962500721156 -0.0917116053671125 "Downregulated"
"80" "Rv1195" 1.13750352374994 -0.0928273702175282 "Not Corr."
"74" "Rv1177" -0.925999418556223 -0.0934271890714859 "Downregulated"
"132" "Rv1908c" -0.765534746362977 -0.094389152245086 "Downregulated"
"47" "Rv0561c" -0.584962500721156 -0.0991668466047066 "Downregulated"
"263" "Rv3718c" -0.765534746362977 -0.100436353200614 "Downregulated"
"198" "Rv2794c" 1.43295940727611 -0.101795438319369 "Not Corr."
"146" "Rv2159c" 0.678071905112638 -0.10268460680757 "Not Corr."
"88" "Rv1305" -0.678071905112638 -0.108439802276786 "Downregulated"
"142" "Rv2069" 0.584962500721156 -0.116632421948426 "Not Corr."
"217" "Rv3147" -0.678071905112638 -0.119481252351811 "Downregulated"
"152" "Rv2276" -0.678071905112638 -0.121430145366414 "Downregulated"
"260" "Rv3711c" -0.84799690655495 -0.12164438468148 "Downregulated"
"6" "Rv0130" -0.584962500721156 -0.124460924609803 "Downregulated"
"173" "Rv2393" 0.584962500721156 -0.126099132252718 "Not Corr."
"91" "Rv1343c" 1.32192809488736 -0.130676278052299 "Not Corr."
"195" "Rv2744c" 0.584962500721156 -0.130953168165912 "Not Corr."
"270" "Rv3840" 1.37851162325373 -0.132906157606959 "Not Corr."
"206" "Rv2996c" -0.584962500721156 -0.133945260642734 "Downregulated"
"258" "Rv3662c" 0.765534746362977 -0.134672657838308 "Not Corr."
"82" "Rv1197" 0.84799690655495 -0.134879433868307 "Not Corr."
"249" "Rv3587c" -0.678071905112638 -0.13667790805913 "Downregulated"
"276" "Rv3924c" 0.678071905112638 -0.140252528810241 "Not Corr."
"172" "Rv2392" 0.84799690655495 -0.142966540208167 "Not Corr."
"15" "Rv0282" 1.96347412397489 -0.144384495034851 "Not Corr."
"175" "Rv2429" 0.84799690655495 -0.144580200015531 "Not Corr."
"240" "Rv3394c" -0.765534746362977 -0.145509452433026 "Downregulated"
"67" "Rv0885" 0.925999418556223 -0.151553347058266 "Not Corr."
"85" "Rv1240" -0.584962500721156 -0.157849518474271 "Downregulated"
"137" "Rv1990c" 0.584962500721156 -0.16088929383694 "Not Corr."
"115" "Rv1527c" -0.584962500721156 -0.161464656224748 "Downregulated"
"16" "Rv0283" 1.53605290024021 -0.161698925363209 "Not Corr."
"259" "Rv3689" 0.678071905112638 -0.168942852082838 "Not Corr."
"29" "Rv0338c" -1.48542682717024 -0.175871968724997 "Downregulated"
"150" "Rv2247" 0.584962500721156 -0.195054104342969 "Not Corr."
"135" "Rv1938" -0.584962500721156 -0.210117649188992 "Downregulated"
"101" "Rv1388" -0.584962500721156 -0.224971546589707 "Downregulated"
"129" "Rv1876" -1.0703893278914 -0.241325093632109 "Downregulated"
"238" "Rv3370c" -0.584962500721156 -0.245563185009568 "Downregulated"
"86" "Rv1252c" -0.678071905112638 -0.26097065433907 "Downregulated"
"256" "Rv3620c" 0.584962500721156 -0.303513108451457 "Not Corr."
"70" "Rv1133c" -0.584962500721156 -0.309616092275778 "Downregulated"
"144" "Rv2122c" 1.63226821549951 -0.310579779021319 "Not Corr."
"149" "Rv2246" 0.584962500721156 -0.355201108422337 "Not Corr."
"83" "Rv1199c" 0.584962500721156 -0.387819331944389 "Not Corr."
"69" "Rv1038c" 0.584962500721156 -0.420718239257072 "Not Corr."
"271" "Rv3841" -3.52356195605701 -0.521629326077535 "Downregulated"
