"C5_Fe_NO_1" "C5_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv1178" 0.698355064520451 0.825212420854674 -0.0992055816251671 0.370931384039904 -1.05213058670083 -0.471436898674295 -0.243674531497525 -0.02805127091721
"Rv1183" 0.717487625996312 0.168645174698992 -0.0413268546499603 0.0788557311403535 -0.48269749857914 -0.403435302116163 0.0684466561165031 -0.105975532606897
"Rv1201c" 0.98107139230296 0.796039225122697 0.241166362720934 0.54727631338432 -0.853833097138458 -0.923277520287201 -0.253411281493865 -0.535031394611388
"Rv1233c" 1.53833236697256 1.28336142438094 0.508561618162634 0.755989467871403 -1.48146087056143 -1.34023292079207 -0.492925950976942 -0.771625135057096
"Rv1244" 1.05709700271554 1.25679889231781 0.289959796521352 0.683674433066211 -1.43605480793554 -0.877841087097808 -0.70992156554863 -0.263712664038934
"Rv1251c" 0.952205989206246 0.881689398670545 0.141841164413995 0.566025825279308 -0.760278737090339 -1.07361665078645 -0.464367281340417 -0.243499708352886
"Rv1260" 1.41738172751582 1.03826371075437 0.681902838596335 0.886246606581111 -1.09369770705131 -1.36194773121888 -0.97034857745788 -0.597800867719565
"Rv1290c" 0.911828175693654 0.483097055181349 0.189068556201389 0.205460538323821 -0.978618759963179 -0.416306470911825 -0.0388257642545771 -0.355703330270634
"Rv1295" 1.35492358695825 1.1178436484265 0.723091906836207 1.00291005999081 -1.09325571158143 -1.37951152380332 -0.935202184685062 -0.790799782141956
"Rv1301" 0.803378655094908 0.509804680295535 0.179682723908783 0.373367962936398 -0.431841493940293 -0.881341841450151 -0.124813482803148 -0.428237204042033
"Rv1328" 1.14390872240016 1.02175470067429 0.310958891029871 0.654074416930633 -1.13425377529906 -1.03140964777539 -0.532539406631741 -0.432493901328765
"Rv1360" 0.916814798650448 0.592656550317894 0.25341419779629 0.456858591685433 -0.71483320710694 -0.794638141861404 -0.341878081097208 -0.368394708384514
"Rv1385" 0.592307251055067 1.51454113578804 -0.356017172074604 0.434438090708473 -1.85126840654975 -0.255579980293352 0.171537750091868 -0.249958668725737
