"C5_Fe_NO_1" "C5_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0487" -0.790549373831649 -0.845760503930892 -0.487899946667183 -0.100714193002992 0.869727153308843 0.766582724453698 0.283646076083027 0.304968063587147
"Rv0530A" -1.71672383053678 -2.03908031582227 -1.46232589525623 -1.35038018971398 2.18765648463347 1.56814766172557 1.34478685857671 1.46791922639351
"Rv0538" -1.1619413788208 -0.854361767745916 -0.611892376752467 -0.0677805774517282 1.30287640784957 0.713426738717145 0.158687448560608 0.520985505643588
"Rv0563" -1.06706557239504 -1.22819008704298 -0.504296691196504 -0.338912217876357 1.17275060746987 1.12250505196815 0.523333460569757 0.319875448503101
"Rv0575c" -1.84273336929357 -2.29570610593534 -1.50532964613696 -1.24952604451565 2.23299037643924 1.90544909878967 1.47291651663557 1.28193917401704
"Rv0754" -2.2754311602146 -2.06282656380143 -1.65328097919647 -1.191378304461 1.72831805626492 2.60993966775112 1.32890111292825 1.51575817072921
"Rv0762c" -2.00279939494715 -2.37555384119194 -1.04400529709395 -0.980055710019197 1.94042050667271 2.43793272946637 1.09630432749091 0.927756679622237
"Rv0764c" -1.95365864244096 -2.20255962447415 -1.26880841274845 -1.03102823213426 1.88403319480426 2.27218507211086 1.23132795288848 1.06850869199423
"Rv0765c" -2.44103510060719 -2.73267748249027 -1.95158291198576 -1.55827225653819 2.22603159861701 2.94768098448046 1.83629618289373 1.67355898563022
"Rv0766c" -2.30765118450359 -2.58269031751084 -1.66476653889494 -1.2205123881785 2.00715274315978 2.88318875885465 1.55433791892827 1.33094100814517
"Rv0767c" -2.75349687188676 -2.75445466924697 -1.93116068422901 -2.0082828373315 2.00432979536578 3.50362174576795 1.90978415887544 2.02965936268507
"Rv0768" -1.54791287385331 -1.9473458604819 -0.911878314968412 -0.473860144682887 1.30096830840616 2.19429042592905 0.590498795357027 0.795239664294272
"Rv0769" -1.17115895489697 -1.53555353717263 -0.58180679682168 -0.22129316617938 1.07525580017813 1.63145669189147 0.509950304011884 0.293149658989176
"Rv0789c" -1.69908327470919 -2.33491191057758 -1.44562211819889 -1.11866832899471 2.61526947654548 1.41872570874129 1.40622763156282 1.15806281563078
"Rv0790c" -1.52616440364852 -2.09907504914144 -1.307449531783 -1.21731382024694 1.35940850034316 2.2658309524468 1.37278883990852 1.15197451212143
"Rv0791c" -1.69651021864492 -1.86203739677601 -1.17485414243672 -1.02877283977259 0.997377919339717 2.56116969608122 1.31498575707274 0.88864122513657
"Rv0792c" -2.08579486628373 -2.36248832032711 -1.6463896872613 -1.45350923972274 1.59972552262082 2.84855766399002 1.83556145991105 1.26433746707299
"Rv0813c" -0.813740981986204 -0.987357201972287 -0.578736142106955 -0.456551891141446 1.02008392520536 0.781014258753133 0.492851118945276 0.542436914303126
"Rv0821c" -1.43078519710762 -1.7702594064463 -1.07944341899863 -1.0067272314803 1.7918073984658 1.40923720508813 1.1935877479145 0.892582902564435
"Rv0827c" -1.57887570530451 -2.05516973477618 -1.03240253290434 -0.939791793480764 1.99210614258148 1.64193929749922 1.02735349368012 0.944840832704982
"Rv0846c" -2.72786232202678 -3.0143394448722 -1.30431322245231 -0.914581202856919 2.63946466681506 3.10273710008393 1.29367673747949 0.925217687829737
"Rv0847" -3.95992496588495 -3.98796022900352 -1.97034299407166 -2.09800231240043 3.91024359213647 4.037641602752 1.81437602616078 2.25396928031131
"Rv0848" -3.74985674273794 -3.87379732735397 -2.1840619897932 -1.71982701309799 3.64156501804635 3.98208905204556 1.95450544408845 1.94938355880274
"Rv0849" -2.87985619979353 -3.14757869790736 -1.61575175102397 -1.59712177022262 2.98607832694407 3.04135657075682 1.75158190642565 1.46129161482094
"Rv0885" -1.35308101508754 -1.79979164482415 -0.775193207320551 -0.391965865877953 1.67711835429339 1.47575430561831 0.717885938841982 0.449273134356522
"Rv0886" -1.3366133223221 -1.29609821198544 -0.555999346483225 -0.237461878725416 1.29322383853591 1.33948769577163 0.399583998375064 0.393877226833575
"Rv0959" -0.856571065997922 -0.803570254536561 -0.48433729965035 -0.0829110852601547 1.0623668056501 0.597774514884383 0.25622425496389 0.311024129946615
"Rv0966c" -0.803221786626013 -0.961933459418866 -0.355964438219629 -0.338481810383652 0.91461379223789 0.85054145380699 0.394937912195263 0.299508336408017
"Rv0967" -3.07258455802113 -3.14711601745267 -2.44342426663982 -2.28912785293451 2.79881979668868 3.42088077878513 2.45342922591956 2.27912289365477
"Rv0968" -3.40074158751111 -3.14512663655878 -2.70699639902877 -2.3258935264284 2.70781149790698 3.83805672616292 2.35976095340144 2.67312897205573
"Rv0981" -1.22843053179684 -1.3860980161283 -1.07434992233273 -0.878495141078089 1.37620419104906 1.23832435687607 1.084306335632 0.868538727778819
"Rv0982" -1.32323328797591 -1.48659062362156 -0.927879995200323 -0.593589783895921 1.51531112996032 1.29451278163715 0.844475854760656 0.676993924335587
"Rv0983" -0.875894188532923 -1.00456328734599 -0.72730405907478 -0.301216147693898 0.721894585522609 1.1585628903563 0.622651678923123 0.405868527845552
"Rv0984" -0.799362330684444 -0.985494734938177 -0.459184135487758 -0.166858746820898 0.820406163081634 0.964450902540989 0.306566193631908 0.319476688676747
"Rv0986" -0.938264673490727 -1.48365357897534 -0.446890071546055 -0.21128549616116 1.11173900602249 1.31017924644357 0.340524035898507 0.317651531808707
