Edge1-Edge2	KappaScore
GO:0051171 (term-term) GO:0031326	0.9508196721311476
GO:0051171 (term-term) GO:0034654	0.7187500000000002
GO:0051171 (term-term) GO:0048519	0.4000000000000001
GO:0051171 (term-term) GO:0050794	0.9062500000000001
GO:0051171 (term-term-ontology) GO:0019222	2.0
GO:0051172 (term-term) GO:0006351	0.4306122448979593
GO:0051172 (term-term) GO:0006355	0.4306122448979593
GO:0051172 (term-term) GO:0009892	0.9044193216855088
GO:0051172 (term-term) GO:0010556	0.4568462037637897
GO:0051172 (term-term) GO:0010558	0.9463358338141951
GO:0051172 (term-term) GO:0031323	0.4072837632776934
GO:0051172 (term-term) GO:0031326	0.4568462037637897
GO:0051172 (term-term) GO:0031327	0.9463358338141951
GO:0051172 (term-term) GO:0045892	0.888086642599278
GO:0051172 (term-term) GO:0048519	0.7497757847533633
GO:0051172 (term-term) GO:0051171	0.42307692307692296
GO:0051172 (term-term-ontology) GO:0009892	2.0
GO:0051172 (term-term-ontology) GO:0051171	2.0
GO:0051173 (term-term) GO:0009408	0.42133333333333317
GO:0051173 (term-term) GO:0031325	1.0
GO:0051173 (term-term-ontology) GO:0051171	2.0
GO:0051253 (term-term) GO:0001217	0.4334203655352476
GO:0051253 (term-term) GO:0006351	0.4550155118924509
GO:0051253 (term-term) GO:0006355	0.4550155118924509
GO:0051253 (term-term) GO:0009892	0.8515167642362961
GO:0051253 (term-term) GO:0010556	0.4200853298326223
GO:0051253 (term-term) GO:0010558	0.8879518072289158
GO:0051253 (term-term) GO:0031326	0.4200853298326223
GO:0051253 (term-term) GO:0031327	0.8879518072289158
GO:0051253 (term-term) GO:0045892	0.9413988657844992
GO:0051253 (term-term) GO:0048519	0.7001381851681255
GO:0051253 (term-term) GO:0051172	0.9463358338141951
GO:0055076 (term-term) GO:0000041	0.5373134328358209
GO:0055076 (term-term) GO:0006826	0.5230769230769227
GO:0055076 (term-term) GO:0006873	0.782540919719408
GO:0055076 (term-term) GO:0006879	0.8457711442786072
GO:0055076 (term-term) GO:0009267	0.49259547934528447
GO:0055076 (term-term) GO:0010106	0.6463878326996197
GO:0055076 (term-term) GO:0019725	0.6314398943196832
GO:0055076 (term-term) GO:0042592	0.7769784172661873
GO:0071451 (term-term) GO:0000302	0.8516746411483253
GO:0071451 (term-term) GO:0006979	0.5230769230769227
GO:0075136 (term-term) GO:0052572	0.9205807002561913
GO:0075139 (term-term-ontology) GO:0075136	2.0
GO:0080090 (term-term) GO:0006351	0.9000000000000001
GO:0080090 (term-term) GO:0006355	0.9000000000000001
GO:0080090 (term-term) GO:0010467	0.7938931297709926
GO:0080090 (term-term) GO:0010468	0.8593750000000001
GO:0080090 (term-term) GO:0010556	0.9508196721311476
GO:0080090 (term-term) GO:0018130	0.6363636363636362
GO:0080090 (term-term) GO:0019222	0.8615384615384617
GO:0080090 (term-term) GO:0019438	0.6363636363636362
GO:0080090 (term-term) GO:0031323	0.976
GO:0080090 (term-term) GO:0031326	0.9508196721311476
GO:0080090 (term-term) GO:0034654	0.7187500000000002
GO:0080090 (term-term) GO:0048519	0.4000000000000001
GO:0080090 (term-term) GO:0050794	0.9062500000000001
GO:0080090 (term-term) GO:0051171	1.0
GO:0080090 (term-term) GO:0051172	0.42307692307692296
GO:0080090 (term-term-ontology) GO:0019222	2.0
GO:0098771 (term-term) GO:0000041	0.4941724941724938
GO:0098771 (term-term) GO:0006826	0.47457627118644
GO:0098771 (term-term) GO:0006873	0.8634361233480178
GO:0098771 (term-term) GO:0006879	0.7832167832167833
GO:0098771 (term-term) GO:0009267	0.4537444933920706
GO:0098771 (term-term) GO:0010106	0.591029023746702
GO:0098771 (term-term) GO:0019725	0.7069943289224956
GO:0098771 (term-term) GO:0042592	0.8393782383419691
GO:0098771 (term-term) GO:0055076	0.9352818371607516
GO:0140110 (term-term) GO:0006351	0.7712177121771219
GO:0140110 (term-term) GO:0006355	0.7712177121771219
GO:0140110 (term-term) GO:0010467	0.5418719211822661
GO:0140110 (term-term) GO:0010468	0.5969664138678225
GO:0140110 (term-term) GO:0010556	0.7233789411064845
GO:0140110 (term-term) GO:0018130	0.5245398773006136
GO:0140110 (term-term) GO:0019222	0.559705418200947
GO:0140110 (term-term) GO:0019438	0.5245398773006136
GO:0140110 (term-term) GO:0031323	0.6572157641054722
GO:0140110 (term-term) GO:0031326	0.7233789411064845
GO:0140110 (term-term) GO:0034654	0.5969664138678225
GO:0140110 (term-term) GO:0050794	0.5969664138678225
GO:0140110 (term-term) GO:0051171	0.6785714285714287
GO:0140110 (term-term) GO:0080090	0.6785714285714287
GO:0140110 (term-term-ontology) GO:0006355	2.0
GO:1901362 (term-term) GO:0006351	0.6637744034707157
GO:1901362 (term-term) GO:0006355	0.6637744034707157
GO:1901362 (term-term) GO:0010467	0.43079096045197746
GO:1901362 (term-term) GO:0010468	0.4932480454868514
GO:1901362 (term-term) GO:0010556	0.6205903527717782
GO:1901362 (term-term) GO:0018130	0.9344608879492601
GO:1901362 (term-term) GO:0019222	0.45152158527954706
GO:1901362 (term-term) GO:0019438	0.9344608879492601
GO:1901362 (term-term) GO:0031323	0.5565092989985694
GO:1901362 (term-term) GO:0031326	0.6205903527717782
GO:1901362 (term-term) GO:0034654	0.8457711442786069
GO:1901362 (term-term) GO:0050794	0.4932480454868514
GO:1901362 (term-term) GO:0051171	0.5777777777777777
GO:1901362 (term-term) GO:0080090	0.5777777777777777
GO:1901362 (term-term) GO:0140110	0.4753495217071376
GO:1901362 (term-term-ontology) GO:0034654	2.0
GO:1901615 (term-term) GO:0016125	0.6294820717131475
GO:1901615 (term-term-ontology) GO:0016125	2.0
GO:1902652 (term-term) GO:0016125	0.8455149501661131
GO:1902652 (term-term) GO:1901615	0.6294820717131475
