RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0286	PPE4	1	0	0	0
Rv0287	esxG	1	0	0	0
Rv0288	esxH	1	0	0	0
Rv0289	espG3	1	0	0	0
Rv0290	eccD3	0	0	0	0
Rv0291	mycP3	0	0	0	0
Rv0292	eccE3	1	0	0	0
Rv0293c	.	1	0	0	0
Rv0294	tam	0	0	0	0
Rv0295c	.	0	0	0	0
Rv0296c	.	0	0	0	0
Rv0297	PE_PGRS5	0	0	0	0
Rv0298	.	1	0	0	0
Rv0299	.	0	0	0	0
Rv0300	vapB2	1	0	1	0
Rv0301	vapC2	1	0	0	0
Rv0302	.	0	0	0	0
Rv0303	.	0	0	0	0
Rv0304c	PPE5	0	0	0	0
Rv0305c	PPE6	0	0	0	0
Rv0306	.	0	0	0	0
Rv0307c	.	1	0	1	0
Rv0308	.	0	0	0	0
Rv0309	.	0	0	0	0
Rv0310c	.	0	0	0	1
Rv0311	.	0	0	0	0
Rv0312	.	0	0	0	0
Rv0313	.	1	0	0	0
Rv0314c	.	0	0	0	0
Rv0315	.	0	0	0	0
Rv0316	.	0	0	0	0
Rv0317c	glpQ2	0	0	0	0
Rv0318c	.	0	0	0	0
Rv0319	pcp	0	0	0	0
Rv0320	.	0	0	0	0
Rv0321	dcd	0	0	0	0
Rv0322	udgA	1	0	1	0
Rv0323c	.	0	1	0	0
Rv0324	.	0	0	0	0
Rv0325	.	0	0	0	0
Rv0326	.	0	0	0	0
Rv0327c	cyp135A1	1	0	0	0
Rv0328	.	0	0	0	0
Rv0329c	.	0	0	0	0
Rv0330c	.	0	0	0	0
Rv0331	.	0	0	0	0
Rv0332	.	0	0	0	0
Rv0333	.	0	0	0	0
Rv0334	rmlA	0	0	0	0
Rv0335c	PE6	0	0	0	0
Rv0336	.	0	0	0	0
Rv0337c	aspC	0	0	0	0
Rv0338c	.	0	1	0	1
Rv0339c	.	0	0	0	0
Rv0340	.	1	0	1	0
Rv0341	iniB	1	0	1	0
Rv0342	iniA	1	0	1	0
Rv0343	iniC	0	0	0	0
Rv0344c	lpqJ	0	0	0	0
Rv0345	.	0	0	0	0
Rv0346c	ansP2	0	0	0	0
Rv0347	.	1	0	1	0
Rv0348	.	1	0	1	0
Rv0349	.	0	0	0	0
Rv0350	dnaK	1	0	1	0
Rv0351	grpE	0	0	0	0
Rv0352	dnaJ1	0	0	0	0
Rv0353	hspR	0	0	0	0
Rv0354c	PPE7	0	0	0	0
Rv0355c	PPE8	0	0	0	0
Rv0356c	.	0	0	0	0
Rv0357c	purA	0	0	0	0
Rv0358	.	0	0	0	0
Rv0359	.	0	0	0	0
Rv0360c	.	0	0	0	0
Rv0361	.	0	0	0	0
Rv0362	mgtE	0	0	0	0
Rv0363c	fba	0	1	0	0
Rv0364	.	0	0	0	0
Rv0365c	.	0	0	0	0
Rv0366c	.	0	0	0	0
Rv0367c	.	0	0	0	0
Rv0368c	.	0	0	0	0
Rv0369c	.	0	0	0	0
Rv0370c	.	0	0	0	0
Rv0371c	.	0	0	0	0
