"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0061c" 1033.639793 866.262885 71.94923 63.140229 1118.998574 925.857561 174.203715 149.10622
"Rv0062" 77.436244 83.340234 1.855589 2.675233 87.662744 87.226074 2.691754 2.170459
"Rv0063" 62.820521 81.248419 1.525476 2.395705 69.411549 76.471607 3.382918 2.907228
"Rv0063a" 52.350434 79.002792 8.884 6.775732 62.230389 51.362822 11.078561 4.785561
"Rv0064A" 10.657053 15.340611 11.9934 8.493864 17.41692 11.868976 4.629256 5.168406
"Rv0064" 180.26559 168.880892 89.325712 69.044314 151.922377 145.079433 58.806809 53.39807
"Rv0065" 33.821282 36.343546 32.032648 25.939929 39.451847 27.411462 13.818674 14.07812
"Rv0066c" 260.268473 198.326632 5.51693 3.783614 245.885929 212.492696 24.325312 22.620436
"Rv0067c" 47.705809 48.085189 1.461799 1.513077 45.726155 46.555321 5.247739 5.576438
"Rv0068" 18.524378 17.685917 0.747511 0.945673 20.827509 19.973416 2.811289 2.29518
"Rv0069c" 97.319359 87.871456 4.044254 3.224444 90.654913 80.154127 7.214425 6.43254
"Rv0070c" 76.682326 79.703955 5.097269 2.944785 85.761857 81.414081 11.234597 7.218783
"Rv0071" 20.059216 17.499109 1.818803 0.885931 18.319891 17.99934 0.482843 1.752002
"Rv0072" 467.756469 413.034636 9.811143 7.243119 409.400072 404.508997 25.557561 22.002642
"Rv0073" 360.465612 395.193787 4.348061 3.63205 375.700328 352.313648 12.565584 9.681002
"Rv0074" 238.354212 257.213506 2.819093 1.903032 246.383271 240.230025 5.946467 5.20604
"Rv0075" 238.991111 231.918297 2.712197 3.743115 214.495121 211.849008 7.140147 6.807491
"Rv0076c" 10.182447 11.688084 0.971126 1.809344 10.087628 9.610507 4.601864 3.578127
"Rv0077c" 7.451635 6.329288 1.002678 1.132201 8.506884 7.03614 2.98247 2.239021
"Rv0078B" 40.319589 44.042057 7.318627 5.302747 38.011351 31.143615 7.844447 7.864965
"Rv0078A" 237.050017 208.181704 41.316977 25.870977 185.345833 174.532637 51.508113 52.075604
"Rv0078" 9.107643 10.125816 0.749978 0.646905 9.738057 8.287873 0.705142 1.023447
"Rv0079" 652.44253 717.139333 1996.350558 1223.765035 620.547882 610.547811 833.318016 955.306244
"Rv0080" 273.923279 301.751196 546.572301 329.847191 242.136035 250.363137 405.717375 471.743704
"Rv0081" 61.259762 78.42874 50.498528 36.816214 63.965977 80.611264 43.598609 57.077177
"Rv0082" 63.802091 109.57579 74.169713 51.126528 79.912927 98.231398 45.580364 54.914311
"Rv0083" 35.351418 64.184176 31.630513 23.321686 42.962908 55.977832 18.665906 26.245181
"Rv0084" 71.908122 99.551507 46.834597 33.719878 75.562737 98.293964 33.160793 39.129886
"Rv0085" 32.587891 55.707913 21.707512 13.836159 38.106756 45.678176 13.148182 15.318126
"Rv0086" 57.856176 74.853137 26.591761 15.071698 58.957311 71.282842 17.127591 17.597946
"Rv0087" 20.75207 31.650289 7.989625 4.506029 25.020847 25.59553 4.507186 6.919164
"Rv0088" 232.037066 196.70613 34.787875 15.913291 216.652824 193.013157 33.552212 35.374866
"Rv0089" 36.713291 38.763512 11.221895 6.203755 36.427545 31.423447 13.380599 13.443076
