"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0160c" 82 108 20 20 120 72 16 9
"Rv0161" 327 405 5 3 353 347 9 18
"Rv0162c" 253 468 11 29 325 292 37 60
"Rv0163" 189 184 11 4 190 126 6 6
"Rv0164" 2245 2121 78 48 2387 1588 147 136
"Rv0165c" 1396 1557 156 98 1533 1044 246 217
"Rv0166" 11173 11991 597 487 11554 8538 936 797
"Rv0167" 8781 10091 124 84 9148 6830 295 234
"Rv0168" 3551 4134 50 41 3609 2916 72 90
"Rv0169" 11522 11211 129 82 11612 7832 209 233
"Rv0170" 8300 7986 65 43 7966 5831 165 157
"Rv0171" 7939 9720 81 69 8167 6953 187 226
"Rv0172" 11997 13613 98 111 12735 10280 340 360
"Rv0173" 7819 7986 48 39 7694 5992 191 152
"Rv0174" 29156 28908 195 159 28197 20498 631 609
"Rv0175" 7597 8783 162 133 8415 6789 347 377
"Rv0176" 6280 7969 50 42 6590 5570 123 161
"Rv0177" 4988 5389 57 59 5467 4466 159 139
"Rv0178" 4905 5380 66 64 5175 3781 169 156
"Rv0179c" 5689 5910 196 150 6303 4187 159 140
"Rv0180c" 1989 2170 94 60 2249 1673 88 102
"Rv0181c" 1250 1343 78 55 1226 1026 89 95
"Rv0182c" 3057 3431 283 203 3129 2325 264 249
"Rv0183" 2174 2511 35 29 2483 1881 62 72
"Rv0184" 2419 3444 32 35 3062 2768 26 48
"Rv0185" 795 1392 5 12 1061 983 10 18
"Rv0186A" 561 631 2747 4331 515 372 369 336
"Rv0186" 8852 11604 95 99 10283 9967 131 137
"Rv0187" 1155 1517 50 40 1280 1184 46 52
"Rv0188" 2287 2104 6840 4127 2089 1534 5236 6149
"Rv0189c" 4977 5589 205 208 5618 4331 435 416
"Rv0190" 1021 1182 510 384 1015 782 134 145
"Rv0191" 1355 2064 151 192 1596 1335 65 92
"Rv0192" 2197 2849 118 99 2658 2093 138 159
"Rv0193c" 365 330 24 11 351 257 16 34
"Rv0194" 280 298 25 19 306 225 28 26
"Rv0195" 166 131 37 38 119 147 64 79
"Rv0196" 137 163 8 0 133 103 13 3
"Rv0197" 681 828 28 19 819 683 56 57
"Rv0198c" 6798 7109 220 201 7692 5643 444 461
"Rv0199" 858 830 15 6 900 674 25 30
"Rv0200" 1613 2050 9 10 1944 1473 35 64
"Rv0201c" 1580 2065 114 135 1754 1621 233 266
"Rv0202c" 10014 12540 620 597 11715 9717 742 866
"Rv0203" 1269 1568 15 5 1623 1045 34 28
"Rv0204c" 2020 2634 60 52 2506 2023 109 142
"Rv0205" 1397 1586 37 33 1582 1099 60 65
"Rv0206c" 30195 33386 1529 1463 34526 26209 1494 1504
"Rv0207c" 4462 5015 845 884 4979 3592 686 697
"Rv0208c" 1419 1641 955 992 1421 1096 733 649
"Rv0209" 469 710 23 24 593 450 35 31
"Rv0210" 442 599 12 16 510 504 19 18
"Rv0211" 8477 8247 4358 2872 8843 6470 3404 3569
"Rv0212c" 369 348 47 45 389 258 77 87
"Rv0213c" 340 398 21 11 452 311 31 26
"Rv0214" 684 651 13 11 794 546 37 29
"Rv0216" 810 877 17 29 840 668 54 49
"Rv0217c" 446 606 8 8 531 545 42 56
"Rv0218" 250 371 21 6 283 286 9 14
"Rv0219" 80 118 3 0 83 77 3 2
"Rv0220" 14269 17155 286 215 15629 12774 510 623
"Rv0221" 6469 7222 83 60 6607 5130 167 167
"Rv0222" 3726 3777 75 41 3530 2649 84 114
"Rv0223c" 609 721 35 52 714 632 46 65
"Rv0224c" 389 412 6 15 484 318 29 16
"Rv0225" 2660 3580 32 16 3147 2429 66 61
"Rv0226c" 1150 1564 10 8 1467 1094 12 21
"Rv0227c" 2990 3383 67 60 3911 3137 121 106
"Rv0228" 1057 1428 11 16 1304 1105 44 59
"Rv0229c" 2015 2343 202 240 2009 1469 429 378
"Rv0230c" 799 829 99 58 805 659 118 118
"Rv0231" 1328 1270 49 56 1585 1081 81 87
"Rv0232" 3980 4585 2143 1999 4045 2865 910 865
"Rv0233" 6136 6217 2852 2764 6044 4420 1291 1485
"Rv0234c" 2925 4041 91 70 3700 3097 195 252
"Rv0235c" 728 877 6 10 759 580 38 44
"Rv0236A" 809 890 23 11 961 684 24 23
"Rv0236c" 5957 12148 25 52 7812 8308 77 140
"Rv0237" 2519 3675 22 43 3372 3263 37 67
"Rv0238" 2263 2694 182 151 2150 1921 273 267
"Rv0239" 886 989 47 60 1021 617 78 71
"Rv0240" 897 888 65 63 807 591 113 92
"Rv0241c" 5885 6521 111 143 6665 5148 209 248
"Rv0242c" 12252 14795 195 256 14528 11835 406 440
"Rv0243" 21117 30929 508 605 25563 23975 866 1086
"Rv0244c" 6154 5893 311 403 6114 4396 281 295
"Rv0245" 922 967 184 138 957 613 272 294
"Rv0246" 480 496 42 50 422 327 57 63
"Rv0247c" 3435 3404 44 46 3609 2613 46 60
"Rv0248c" 13315 13192 173 175 14114 10464 279 204
"Rv0249c" 5780 5789 138 160 5984 4602 159 185
"Rv0250c" 1902 2445 180 208 1917 1483 195 163
"Rv0251c" 347 344 624 894 404 317 122 178
"Rv0252" 1922 2260 512 547 2028 1745 716 662
"Rv0253" 110 98 49 21 125 54 43 56
"Rv0254c" 140 161 15 9 153 101 6 5
"Rv0255c" 620 1039 17 17 699 715 19 39
"Rv0256c" 570 860 22 28 741 693 53 58
"Rv0257" 462 604 96 48 519 406 71 86
"Rv0258c" 198 180 21 16 225 129 20 19
"Rv0259c" 51 46 4 4 62 27 4 5
"Rv0260c" 40 56 6 2 36 31 14 17
"Rv0261c" 189 192 7 0 166 133 7 4
"Rv0262c" 576 736 26 18 629 424 49 36
"Rv0263c" 704 945 45 30 767 715 91 98
"Rv0264c" 410 570 15 14 442 362 44 52
"Rv0265c" 1896 2515 41 21 2185 1795 71 88
"Rv0266c" 1299 1690 139 139 1578 1380 130 188
"Rv0267" 53 51 2 4 73 37 14 8
"Rv0268c" 912 1027 369 322 1017 682 480 415
"Rv0269c" 712 1094 26 27 929 879 30 47
"Rv0270" 12586 14250 1164 899 12784 10443 1639 1720
"Rv0271c" 5196 5392 385 313 5552 4092 362 384
"Rv0272c" 1336 1417 225 205 1509 1083 128 102
"Rv0273c" 604 801 115 65 655 529 48 61
"Rv0274" 992 1070 46 45 1001 716 74 64
"Rv0275c" 1153 1386 1554 1048 1306 970 837 843
"Rv0276" 2627 3238 1048 906 3126 2016 988 1171
"Rv0277c" 3205 3036 853 716 2744 2027 964 810
"Rv0278c" 102 315 6 7 172 230 5 17
"Rv0279c" 125 394 8 21 204 226 10 34
"Rv0280" 555 1244 20 46 1226 1435 189 274
"Rv0281" 2789 3549 163 137 3506 3082 185 257
"Rv0282" 23089 29152 1605 1799 28198 24329 1351 1600
"Rv0283" 11924 17685 777 954 15102 14618 547 882
"Rv0284" 25518 32600 1573 1516 28251 25336 769 1260
"Rv0285" 1805 3381 50 62 1981 1763 22 49
"Rv0286" 7434 14564 272 420 8826 10500 169 261
"Rv0287" 4712 5989 233 298 4787 5070 133 166
"Rv0288" 2329 2958 96 130 2452 2397 87 95
"Rv0289" 14003 21822 663 791 15380 15331 463 659
"Rv0290" 16745 28513 644 866 18721 20198 482 838
"Rv0291" 11330 21264 582 801 13450 16146 459 853
"Rv0292" 4148 5701 309 268 4395 3961 154 223
"Rv0293c" 4672 4778 572 333 4568 3212 391 390
"Rv0294" 105 149 5 4 146 99 10 11
"Rv0295c" 2063 2139 47 68 2519 1663 91 84
"Rv0296c" 1578 1631 120 94 1807 1274 164 143
"Rv0297" 726 1855 129 248 993 1434 215 301
"Rv0298" 1432 1677 143 160 1442 1148 163 126
"Rv0299" 1591 1671 127 113 1686 1133 140 131
"Rv0300" 1475 1743 130 142 1480 1217 123 133
"Rv0301" 2517 2540 241 219 2348 1948 265 222
"Rv0302" 1482 1837 151 170 1671 1307 171 199
"Rv0303" 1209 1430 41 69 1346 980 55 69
"Rv0304c" 1677 1821 69 43 1684 1437 90 58
"Rv0305c" 645 847 63 48 699 506 61 89
"Rv0306" 119 109 6 7 117 98 12 11
"Rv0307c" 287 339 120 54 401 206 47 42
"Rv0308" 2242 2206 38 19 2290 1663 29 52
"Rv0309" 2600 2644 88 77 2516 2004 130 152
"Rv0310c" 244 254 1 1 176 154 9 12
"Rv0311" 838 793 129 51 784 546 92 96
"Rv0312" 2845 3104 160 111 3404 2224 144 135
"Rv0313" 3147 3656 1010 682 3259 2173 748 786
"Rv0314c" 2841 2897 164 136 3153 1946 277 233
"Rv0315" 2389 2914 173 169 2680 2409 198 184
"Rv0316" 463 916 13 33 691 481 21 11
"Rv0317c" 2939 2973 113 101 2976 2045 245 223
"Rv0318c" 205 258 15 12 285 186 12 20
"Rv0319" 619 780 8 6 769 668 20 24
"Rv0320" 371 387 7 1 343 276 10 4
"Rv0321" 451 460 22 20 436 372 40 52
"Rv0322" 213 245 46 46 257 177 43 33
"Rv0323c" 325 345 19 31 384 271 85 75
"Rv0324" 160 195 33 45 169 130 37 32
"Rv0325" 25 27 7 4 34 14 2 12
"Rv0326" 119 144 18 21 124 70 33 30
"Rv0327c" 218 217 18 10 258 167 5 4
"Rv0328" 1096 999 150 171 1089 750 266 234
"Rv0329c" 65 66 0 1 89 41 7 0
"Rv0330c" 102 131 10 5 112 92 7 16
"Rv0331" 324 358 20 74 327 267 56 68
"Rv0332" 915 1063 80 58 1089 782 52 80
"Rv0333" 382 376 33 19 423 278 37 37
"Rv0334" 843 932 50 25 945 741 59 63
"Rv0335c" 17 40 0 2 32 20 10 6
"Rv0336" 48 87 18 6 55 64 4 9
"Rv0337c" 4388 4802 166 105 4872 4017 274 309
"Rv0338c" 14564 15530 123 133 17537 13789 587 644
"Rv0339c" 1695 2382 77 75 2177 1766 143 156
"Rv0340" 660 801 183 151 726 559 166 127
"Rv0341" 1620 2636 3343 2766 1900 2128 2040 3118
