"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0949" 3320 3873 157 143 3804 3140 267 252
"Rv0950c" 2477 2840 20 31 3381 2222 50 72
"Rv0951" 8033 7693 137 133 9968 7210 362 420
"Rv0952" 6005 5785 71 59 7484 5341 171 162
"Rv0953c" 118 124 9 3 158 111 8 17
"Rv0954" 8896 11017 212 226 10918 9227 417 467
"Rv0955" 2551 3829 49 72 3268 2858 92 121
"Rv0956" 475 532 23 19 581 518 27 31
"Rv0957" 2449 2781 37 44 3119 2253 100 133
"Rv0958" 1674 2619 170 150 2082 2043 172 196
"Rv0959A" 22 18 15 5 45 29 10 14
"Rv0959" 1470 2103 273 170 1674 1441 145 179
"Rv0960" 522 565 75 78 529 318 102 98
"Rv0961" 1346 1501 134 108 1297 939 192 197
"Rv0962c" 51 36 1 3 40 22 3 0
"Rv0963c" 101 122 6 10 118 83 8 12
"Rv0964c" 190 208 6 10 156 128 21 12
"Rv0965c" 333 436 30 29 364 256 31 29
"Rv0966c" 837 1034 135 111 1125 742 98 109
"Rv0967" 439 575 1265 1675 491 356 761 801
"Rv0968" 162 267 551 1038 231 196 403 595
"Rv0969" 2060 3104 3694 6532 2474 2378 4215 6156
"Rv0970" 670 780 352 543 635 584 405 594
"Rv0971c" 243 439 8 6 340 327 22 20
"Rv0972c" 992 1157 12 22 1152 990 28 59
"Rv0973c" 1982 2604 24 29 2439 2272 91 110
"Rv0974c" 851 1169 12 20 984 895 43 52
"Rv0975c" 612 887 7 12 660 708 18 37
"Rv0976c" 530 1031 16 20 772 739 34 50
"Rv0977" 448 718 57 50 585 579 105 110
"Rv0978c" 0 10 0 2 2 9 0 1
"Rv0979A" 1700 2010 37 37 1941 1468 82 57
"Rv0979c" 8 15 1 1 8 5 2 1
"Rv0980c" 25 66 10 5 47 54 4 6
"Rv0981" 2926 3617 875 684 2844 2123 660 675
"Rv0982" 10421 12831 3666 2706 10275 8443 1825 1930
"Rv0983" 12181 15363 1813 2111 13378 11715 1773 1812
"Rv0984" 7227 8759 1092 1038 7639 6097 675 809
"Rv0985c" 226 216 29 25 240 164 39 44
"Rv0986" 380 359 77 76 395 303 35 41
"Rv0987" 1616 1567 126 73 1566 1183 99 107
"Rv0988" 1277 1322 48 42 1319 850 40 55
"Rv0989c" 425 435 34 89 480 344 25 15
"Rv0990c" 86 102 149 410 126 69 85 72
"Rv0991c" 490 428 1473 2273 535 375 571 444
"Rv0992c" 342 655 7 16 453 405 14 31
"Rv0993" 3331 3926 99 116 3823 2988 142 173
"Rv0994" 4580 6524 96 77 5416 4639 240 355
"Rv0995" 1253 1762 20 19 1381 1309 51 75
"Rv0996" 5803 8067 282 288 7363 6366 2912 3955
"Rv0997" 2403 2425 55 23 2247 1891 88 87
"Rv0997a" 3222 2977 83 63 3056 2153 159 170
"Rv0998" 1763 2102 55 39 1821 1498 220 215
"Rv0999" 1805 1827 24 29 2027 1269 48 70
"Rv1000c" 1058 1484 53 43 1252 969 106 109
"Rv1001" 1866 1944 115 106 1975 1457 221 220
"Rv1002c" 1332 1589 83 66 1615 1361 80 80
"Rv1003" 285 490 8 18 332 327 7 18
"Rv1004c" 456 1282 40 64 724 878 50 109
"Rv1005c" 692 1229 71 87 872 828 105 135
"Rv1006" 7390 8761 177 215 8010 6157 333 371
"Rv1007c" 2250 2340 60 67 2505 1932 132 127
"Rv1008" 156 255 8 9 216 180 9 6
"Rv1009" 4528 5449 199 262 5590 4553 380 423
"Rv1010" 1943 2392 73 79 2289 1805 109 141
"Rv1011" 1220 1665 50 50 1438 1214 67 59
"Rv1012" 42 70 5 3 74 74 0 7
"Rv1013" 5424 6886 561 487 7728 6107 485 451
"Rv1014c" 160 136 12 15 146 103 30 33
"Rv1015c" 1358 1369 100 104 1460 1044 217 185
"Rv1016c" 1225 1239 18 18 1245 874 60 56
"Rv1017c" 4738 4902 182 110 5169 3818 304 283
"Rv1018c" 3451 4215 81 140 4044 3442 205 222
"Rv1019" 1304 1447 350 222 1361 1047 281 333
"Rv1020" 4836 7748 232 221 5911 5285 235 333
"Rv1021" 1139 1298 41 24 1337 1019 36 47
"Rv1022" 953 1517 14 12 1108 985 21 42
"Rv1023" 2824 3820 21 26 3461 2992 45 87
"Rv1024" 644 1073 6 5 918 866 11 20
"Rv1025" 498 859 4 1 657 725 9 18
"Rv1026" 730 1170 3 4 858 690 9 3
"Rv1027c" 227 271 47 25 234 165 37 44
"Rv1028c" 782 927 178 114 920 738 188 243
"Rv1028A" 20 17 5 4 45 12 2 9
"Rv1029" 489 493 97 65 517 436 94 83
"Rv1030" 944 1000 68 53 1075 817 83 66
"Rv1031" 253 223 46 25 236 183 34 28
"Rv1032c" 1339 1306 39 23 1151 808 35 48
"Rv1033c" 497 566 50 45 539 380 62 54
"Rv1037c" 6 10 2 0 19 6 0 1
"Rv1038c" 17 31 4 1 26 31 3 4
"Rv1039c" 51 90 15 15 67 65 18 8
"Rv1040c" 53 79 13 17 49 50 23 21
"Rv1041c" 69 70 7 10 51 26 13 13
"Rv1042c" 523 609 40 24 526 450 77 46
"Rv1043c" 4480 4612 68 94 4186 3023 131 98
"Rv1044" 136 115 66 82 122 82 65 53
"Rv1045" 273 287 97 100 277 209 101 102
"Rv1047" 3 2 0 2 3 4 0 0
"Rv1048c" 202 193 39 28 204 159 26 20
"Rv1049" 85 120 15 10 85 78 8 14
"Rv1050" 130 136 13 6 122 86 8 11
"Rv1051c" 13 45 0 1 26 17 1 4
"Rv1052" 789 760 72 47 724 510 84 64
"Rv1056" 800 811 38 23 855 571 68 94
"Rv1057" 2101 1738 431 511 1907 1612 313 321
"Rv1058" 1096 976 64 66 1120 828 68 60
"Rv1059" 1294 1492 25 14 1345 1015 32 45
"Rv1060" 972 1074 52 33 1142 745 59 52
"Rv1061" 842 932 39 42 847 647 69 59
"Rv1062" 476 607 7 9 593 405 9 28
"Rv1063c" 1200 1486 224 166 1408 1175 468 624
"Rv1064c" 88 150 7 19 126 87 7 11
"Rv1065" 1638 2217 2026 874 1736 1581 2378 2460
"Rv1066" 267 777 444 809 419 507 346 739
"Rv1067c" 29 101 0 1 47 69 0 0
"Rv1068c" 154 297 3 0 207 232 0 0
"Rv1069c" 2847 2926 37 23 3056 2007 57 38
"Rv1070c" 1655 1896 12 13 2143 1501 18 17
"Rv1071c" 1370 1615 29 28 1640 1260 33 34
"Rv1072" 49994 48313 7899 6995 52318 36589 7625 7603
"Rv1073" 5124 5156 1727 1924 5101 3752 1194 1201
"Rv1074c" 8359 8676 275 233 9403 6983 446 499
"Rv1075c" 417 527 70 28 464 392 72 93
"Rv1076" 1962 1994 63 46 2010 1404 55 62
"Rv1077" 5621 6940 187 194 6179 5095 381 448
"Rv1078" 2735 3226 61 63 3508 2876 177 166
"Rv1079" 2449 2456 46 51 2713 1905 123 123
"Rv1080c" 10781 10961 1423 1041 11464 7808 2210 1735
"Rv1081c" 239 273 13 31 255 205 38 40
"Rv1082" 1568 1773 305 193 1628 1307 457 538
"Rv1083" 130 145 17 16 115 91 21 38
"Rv1084" 778 1267 147 126 908 1080 240 436
"Rv1085c" 1049 1526 30 43 1286 1294 61 45
"Rv1086" 1882 2105 705 380 2045 1498 522 515
"Rv1087" 398 981 79 82 512 611 62 130
"Rv1088a" 33 50 1 4 49 36 6 11
"Rv1088" 15 19 3 4 25 20 3 2
"Rv1091" 420 1149 14 24 622 819 15 35
"Rv1092c" 2703 3069 16 19 2936 2293 65 56
"Rv1093" 5166 6782 267 194 6005 5054 352 437
"Rv1094" 58241 59243 5804 4276 56887 41551 6395 6271
"Rv1095" 29831 37793 1392 1297 32565 27665 2293 2680
"Rv1096" 2265 2451 166 140 2502 1852 352 311
"Rv1097c" 2919 2939 30 27 3263 2356 79 75
"Rv1098c" 4803 5017 26 35 5698 4065 96 97
"Rv1099c" 1880 2675 26 25 2476 1819 47 69
"Rv1100" 1793 2521 247 175 2023 1584 331 387
"Rv1101c" 3059 2964 394 370 2943 2031 669 646
"Rv1102c" 1159 1024 280 260 1090 769 444 342
"Rv1103c" 422 459 131 158 485 326 154 158
"Rv1106c" 1691 2085 110 82 1617 1322 105 97
"Rv1107c" 310 426 6 9 342 273 13 8
"Rv1108c" 3832 4502 107 138 4303 3208 178 216
"Rv1109c" 6931 6892 345 253 7736 5656 431 433
"Rv1110" 4950 5273 841 598 4924 3764 821 850
"Rv1111c" 2695 3475 60 66 3216 2751 149 172
"Rv1112" 251 353 27 16 304 231 29 34
"Rv1113" 15 4 2 0 21 16 1 1
"Rv1114" 266 283 19 7 246 210 24 11
"Rv1115" 261 287 7 2 285 198 9 7
"Rv1116" 52 45 3 0 46 35 0 2
"Rv1117" 1402 1633 179 130 1450 1132 180 152
"Rv1118c" 342 363 20 14 393 298 16 29
"Rv1119c" 0 0 0 0 0 0 0 0
"Rv1120c" 11 6 0 0 6 5 4 0
"Rv1121" 7317 7276 234 243 7609 5762 477 479
"Rv1122" 3063 3646 41 41 3626 2548 106 132
"Rv1123c" 1090 1313 33 32 1272 945 70 93
"Rv1124" 622 826 4 12 759 519 45 65
"Rv1125" 480 629 6 6 586 456 20 16
"Rv1126c" 1072 1098 20 22 1095 821 55 62
"Rv1127c" 2674 3145 69 68 2978 2549 165 227
"Rv1128c" 1358 1579 16 10 1432 1177 20 28
"Rv1129c" 6679 7078 19 43 7158 5550 217 186
"Rv1130" 14523 15078 94 228 15848 11783 1198 981
"Rv1131" 9371 10171 56 108 10229 7612 450 397
"Rv1132" 5035 5628 22 37 5041 3969 106 104
"Rv1133c" 41496 64037 705 763 58747 58250 3342 5110
"Rv1134" 30 56 2 3 28 37 3 7
"Rv1135c" 178 354 23 10 241 259 51 52
"Rv1138a" 53 58 3 5 55 50 4 2
"Rv1138c" 640 738 16 10 667 485 32 39
"Rv1139c" 475 581 46 30 583 478 60 86
"Rv1140" 2986 2983 58 41 3126 2397 171 197
"Rv1141c" 503 489 36 19 456 359 48 65
"Rv1142c" 3036 3859 147 106 3452 2187 194 170
"Rv1143" 1196 1573 46 34 1424 1240 68 110
"Rv1144" 533 673 9 13 706 505 35 28
"Rv1145" 224 251 17 13 208 149 24 17
"Rv1146" 301 392 17 17 366 241 27 36
"Rv1147" 197 215 0 6 220 134 7 9
"Rv1148c" 591 779 168 149 670 672 54 87
"Rv1149" 4 0 0 0 7 1 2 1
"Rv1151c" 347 362 29 25 389 226 42 32
"Rv1152" 1094 1333 161 98 1131 799 136 163
"Rv1153c" 397 454 31 19 369 336 46 43
"Rv1154c" 314 452 33 27 317 294 20 23
"Rv1155a" 479 490 38 13 516 278 32 22
"Rv1155" 2747 2840 162 131 2857 1913 205 206
"Rv1156" 13042 14358 851 580 12917 10693 1270 1429
"Rv1157c" 1610 2434 30 33 2135 2236 49 83
"Rv1158c" 1534 3454 12 21 2722 2857 51 57
"Rv1159A" 1850 1789 298 124 1851 1213 292 248
"Rv1159" 1907 1984 79 87 1836 1327 106 114
"Rv1160" 311 425 15 16 356 282 35 23
"Rv1161" 40163 47773 9328 10105 42870 36559 16646 17702
"Rv1162" 8340 11401 1068 780 9068 8244 1504 1696
"Rv1163" 1043 1882 80 83 1316 993 197 267
"Rv1164" 1349 1497 177 80 1366 968 223 248
"Rv1165" 3630 4200 139 81 4236 3185 198 224
"Rv1166" 2952 3834 198 190 3795 3112 319 328
"Rv1167c" 856 1113 120 366 922 729 180 204
"Rv1168c" 730 797 238 1304 805 559 338 286
"Rv1169c" 91 112 168 910 94 84 175 126
"Rv1170" 552 709 174 193 626 530 123 134
"Rv1171" 917 968 140 123 827 574 157 128
"Rv1172c" 3510 4108 660 907 4118 3532 1372 1226
"Rv1173" 11952 15756 455 400 13058 11439 769 959
"Rv1174c" 7575 9301 623 648 8059 6434 1285 1227
"Rv1175c" 2452 2622 42 42 2887 2136 102 102
"Rv1176c" 190 190 11 5 234 108 18 10
"Rv1177" 5838 8320 181 184 6871 6703 793 791
"Rv1178" 23156 34864 338 435 26514 23938 1247 1720
"Rv1179c" 2500 3030 218 175 2874 2423 249 212
"Rv1180" 3649 3996 430 401 4059 3108 696 626
"Rv1181" 9974 11521 441 443 10397 7980 799 914
"Rv1182" 2753 2697 109 87 2751 1897 176 210
"Rv1183" 8198 7727 175 159 7475 5295 419 441
"Rv1184c" 5962 6218 831 643 5643 4090 1376 1174
"Rv1185c" 9391 9294 382 254 9606 7010 852 642
"Rv1186c" 513 681 65 44 520 408 145 139
"Rv1187" 633 810 38 72 680 600 172 123
"Rv1188" 314 494 19 21 352 288 26 32
"Rv1189" 240 320 9 7 271 280 27 31
"Rv1190" 90 117 0 0 97 69 2 3
"Rv1191" 374 619 24 34 537 453 28 31
"Rv1192" 4245 5615 619 788 5050 4569 977 1165
"Rv1193" 1403 2336 66 124 1749 1811 114 152
"Rv1194c" 3082 3481 692 675 3554 2752 1198 1129
"Rv1195" 24499 36195 418 586 27571 30120 739 904
"Rv1196" 61654 102578 636 1095 78251 67039 1211 1547
"Rv1197" 23307 32384 296 375 26505 28224 390 476
"Rv1198" 53746 61785 679 754 58598 51285 700 891
"Rv1199c" 52 34 9 4 51 53 6 4
"Rv1200" 4015 4704 316 255 3778 2922 566 643
"Rv1201c" 4025 4882 55 45 4727 3809 174 170
"Rv1202" 1356 1748 75 73 1597 1468 127 164
"Rv1203c" 32 37 7 4 45 31 12 10
"Rv1204c" 712 965 39 32 872 573 43 63
"Rv1205" 593 753 25 10 673 583 31 19
"Rv1206" 1742 2233 65 60 2045 1449 78 94
"Rv1207" 1164 1915 27 54 1505 1500 72 116
"Rv1208" 1971 2705 103 78 2134 2135 134 147
"Rv1209" 374 630 38 18 417 264 16 25
"Rv1210" 1874 2051 107 88 1992 1741 146 197
"Rv1211" 5363 5739 223 162 5859 3943 480 482
"Rv1212c" 435 534 16 13 505 348 32 27
"Rv1213" 2046 2251 86 35 1999 1521 179 166
"Rv1214c" 193 321 0 4 247 197 5 2
"Rv1215c" 1195 1811 27 35 1556 1307 59 76
"Rv1216c" 1008 1065 33 9 821 722 26 41
"Rv1217c" 2370 3487 34 46 2386 2116 58 94
"Rv1218c" 1410 1558 47 69 1265 1102 103 85
"Rv1219c" 626 683 78 57 566 449 113 97
"Rv1220c" 1899 3034 19 14 2581 1947 29 46
"Rv1221" 5384 5052 1921 2176 4872 3930 1258 1230
"Rv1222" 3698 4464 815 760 3812 3028 605 581
"Rv1223" 11178 13286 842 865 12107 10073 929 967
"Rv1224" 2396 2882 103 133 2692 2404 140 133
"Rv1225c" 335 503 34 21 364 326 52 71
"Rv1226c" 895 1572 54 49 1125 1140 211 277
"Rv1227c" 514 578 14 18 673 533 91 131
"Rv1228a" 17 30 3 1 18 27 4 8
"Rv1228" 125 123 11 9 153 91 31 17
"Rv1229c" 4852 6104 458 220 5477 4492 384 491
"Rv1230c" 1793 2210 43 56 2158 1816 143 126
"Rv1231c" 1196 1517 12 12 1383 1028 40 32
"Rv1232c" 2715 2931 131 56 2978 2008 188 236
"Rv1233c" 3215 3715 19 18 3676 2844 95 93
"Rv1234" 1856 1841 209 143 1997 1469 266 262
"Rv1235" 1643 1691 263 161 1682 1378 255 257
"Rv1236" 962 1113 90 74 930 681 81 78
"Rv1237" 754 797 58 30 801 546 59 37
"Rv1238" 1404 1431 140 62 1478 1120 102 95
"Rv1239c" 477 424 172 92 538 414 107 93
"Rv1240" 2989 3223 35 28 3798 2630 73 117
"Rv1241" 232 272 1 3 213 203 2 2
"Rv1242" 387 439 0 1 447 333 11 8
"Rv1243c" 343 758 7 5 515 650 11 16
"Rv1244" 858 1359 7 9 1057 905 27 44
"Rv1245c" 2612 3000 101 91 3183 2532 100 76
"Rv1246c" 140 118 36 12 111 115 23 16
"Rv1247c" 215 256 44 33 258 181 38 42
"Rv1248c" 13688 14100 1085 775 15520 11820 1869 1985
"Rv1249c" 1668 1678 80 68 1861 1308 103 76
"Rv1250" 744 937 35 34 915 684 125 106
"Rv1251c" 2165 2843 32 22 2590 2265 88 122
"Rv1252c" 749 695 19 14 891 711 28 32
"Rv1253" 1557 1678 274 140 1602 1180 268 226
"Rv1254" 1716 1813 114 88 1723 1272 132 117
"Rv1255c" 292 305 22 36 282 235 13 5
"Rv1256c" 465 628 23 38 525 416 24 25
"Rv1257c" 3327 4572 175 171 3781 3443 262 257
"Rv1258c" 276 388 14 9 295 317 13 16
"Rv1259" 137 266 14 28 192 163 38 58
"Rv1260" 2839 3010 24 17 2810 2110 46 71
"Rv1261c" 1079 1130 39 31 1060 717 71 85
"Rv1262c" 555 653 10 13 572 392 42 19
"Rv1263" 431 628 6 3 615 497 24 23
"Rv1264" 5096 7602 93 113 5923 5765 220 287
"Rv1265" 5216 6012 2030 1222 5612 4383 506 524
"Rv1266c" 1156 1275 66 44 1268 1142 134 167
"Rv1267c" 257 279 10 12 294 235 29 19
"Rv1268c" 83 107 5 2 96 77 6 6
"Rv1269c" 377 339 12 4 447 268 26 24
"Rv1270c" 806 806 30 16 916 603 85 50
"Rv1271c" 296 342 0 2 367 243 0 3
"Rv1272c" 2791 2802 53 38 2823 2207 91 129
"Rv1273c" 1014 1121 20 15 1130 868 46 40
"Rv1274" 3278 3270 259 168 3580 2612 238 271
"Rv1275" 2475 2436 177 106 2906 1939 112 171
"Rv1276c" 90 116 0 1 75 79 8 3
"Rv1277" 2033 2074 97 100 2418 1799 76 102
"Rv1278" 1820 2583 125 131 2370 2012 139 171
"Rv1279" 2402 2713 82 63 2575 2051 148 145
"Rv1280c" 4007 4087 35 34 3887 3123 107 80
"Rv1281c" 1475 1834 14 11 1623 1328 31 42
"Rv1282c" 793 1021 3 3 949 839 9 12
"Rv1283c" 1758 1972 23 32 1988 1579 41 46
"Rv1284" 142 150 269 67 145 98 218 206
"Rv1285" 599 805 1255 777 808 582 874 978
"Rv1286" 803 905 927 385 939 851 824 810
"Rv1287" 639 803 81 36 660 524 82 108
"Rv1288" 514 555 48 24 567 427 69 57
"Rv1289" 1413 1495 68 24 1627 1235 94 80
"Rv1290c" 1394 1428 18 23 1452 957 64 61
"Rv1290A" 30 15 3 3 21 19 2 0
"Rv1291c" 35 33 3 9 25 24 8 5
"Rv1292" 2666 2899 119 105 3026 2483 165 154
"Rv1293" 4700 5573 112 88 5151 4174 127 156
"Rv1294" 5878 7621 55 64 7153 5657 168 147
"Rv1295" 7156 8372 64 45 8345 6603 137 180
"Rv1296" 2714 3196 39 26 3052 2301 52 71
"Rv1297" 62698 72048 2718 3958 76664 61506 11213 9714
"Rv1298" 9685 11193 417 452 11133 9137 898 872
"Rv1299" 9759 10659 401 453 10689 8578 752 661
"Rv1300" 7000 7964 231 218 7546 6267 370 445
"Rv1301" 5432 6111 113 71 5687 4239 239 230
"Rv1302" 2698 2860 294 259 2789 2092 285 273
"Rv1303" 4750 4335 691 438 5073 3885 1053 973
"Rv1304" 6529 6452 604 456 7228 5495 989 828
"Rv1305" 2893 2536 236 165 3358 2145 311 315
"Rv1306" 7182 6679 498 335 8148 5803 820 798
"Rv1307" 18348 16288 998 864 19700 14016 1731 1708
"Rv1308" 17559 15938 1155 783 18905 13261 1495 1573
"Rv1309" 7034 6840 398 242 7376 5359 487 579
"Rv1310" 19020 19020 733 409 20470 14815 1064 1196
"Rv1311" 926 1255 50 35 1102 858 67 68
"Rv1312" 2632 3112 154 85 2736 2257 178 181
"Rv1313c" 41 47 0 5 51 27 2 5
"Rv1314c" 486 532 20 17 544 341 33 34
"Rv1315" 2813 2961 207 211 3484 2236 373 339
"Rv1316c" 526 530 278 147 648 472 88 141
"Rv1317c" 1141 1360 1383 795 1258 991 415 440
"Rv1318c" 510 715 26 19 596 474 26 36
"Rv1319c" 1614 1698 34 32 1597 1158 46 58
"Rv1320c" 4621 4829 159 156 4486 3200 273 233
"Rv1321" 1261 1365 71 66 1287 1148 117 161
"Rv1322A" 23951 24778 1397 1073 23430 16117 2202 2535
"Rv1322" 234 274 60 43 252 202 98 79
"Rv1323" 14747 16387 1389 965 16009 12246 1899 1864
"Rv1324" 14247 15123 449 369 14799 10915 1066 1240
"Rv1325c" 229 651 17 18 358 492 31 44
"Rv1326c" 4515 4979 442 292 4695 3637 871 909
"Rv1327c" 5182 6252 349 308 5617 4665 812 1087
"Rv1328" 5177 6559 52 48 6193 5120 179 228
"Rv1329c" 1287 1808 28 39 1535 1302 68 103
"Rv1330c" 747 1036 33 23 946 870 47 79
"Rv1331" 1579 1444 227 75 1648 949 117 132
"Rv1332" 3544 3950 357 239 3397 2974 490 567
"Rv1333" 2702 4363 126 118 3298 2338 212 219
"Rv1334" 1173 1722 58 39 1177 1171 61 64
"Rv1335" 583 739 25 29 608 500 38 50
"Rv1336" 3127 4586 168 131 3674 3175 209 227
"Rv1337" 3550 4466 281 213 3804 3396 210 241
"Rv1338" 2250 2934 105 94 2438 1862 118 131
"Rv1339" 3697 4444 196 153 3661 3087 260 223
"Rv1340" 3032 3453 184 154 3420 2579 202 255
"Rv1341" 713 944 44 34 770 622 60 59
"Rv1342c" 150 134 121 70 145 101 26 13
"Rv1343c" 255 311 187 118 320 248 42 37
"Rv1344" 70 83 76 69 62 64 5 3
"Rv1345" 2911 3102 407 320 3071 2498 114 144
"Rv1346" 1612 1855 354 256 1700 1430 90 93
"Rv1347c" 146 173 36 28 125 103 23 24
"Rv1348" 1121 1268 276 331 816 733 100 101
"Rv1349" 566 782 78 98 450 313 22 17
"Rv1350" 419 398 32 19 427 285 37 48
"Rv1351" 301 344 17 11 288 231 43 26
"Rv1352" 1643 1519 81 54 1723 1075 140 139
"Rv1353c" 146 169 4 0 163 151 10 5
"Rv1354c" 516 564 14 5 538 465 27 20
"Rv1355c" 484 497 35 27 506 392 67 40
"Rv1356c" 61 59 2 1 52 43 2 5
"Rv1357c" 8 20 3 0 14 14 2 1
"Rv1358" 260 277 9 10 292 198 17 20
"Rv1359" 139 151 3 3 162 107 5 12
"Rv1360" 4063 4475 64 52 4023 3019 138 161
"Rv1361c" 12899 17588 251 386 15052 12677 748 787
"Rv1362c" 870 786 25 18 906 599 43 36
"Rv1363c" 847 923 53 29 898 631 50 29
"Rv1364c" 2231 2549 200 134 2387 1814 193 181
"Rv1365c" 236 219 48 35 277 182 59 43
"Rv1366" 410 381 7 14 451 340 16 26
"Rv1366A" 363 348 26 19 374 303 53 47
"Rv1367c" 1028 1131 80 71 1181 834 132 117
"Rv1368" 3185 3164 119 102 3504 2702 303 253
"Rv1371" 27 28 0 2 18 20 4 3
"Rv1372" 164 261 10 7 173 158 25 43
"Rv1373" 518 500 24 25 476 382 97 81
"Rv1374c" 101 129 17 10 119 75 2 4
"Rv1375" 2296 2551 2649 1624 2287 1731 1432 1642
"Rv1376" 1051 1545 374 343 1290 1049 221 301
"Rv1377c" 784 915 181 127 884 650 80 98
"Rv1378c" 1038 2241 260 372 1435 1521 126 196
"Rv1379" 681 705 24 22 848 577 92 77
"Rv1380" 342 477 5 11 457 427 40 84
"Rv1381" 570 1023 23 31 813 889 71 141
"Rv1382" 108 155 1 4 117 133 9 20
"Rv1383" 382 586 14 12 525 423 33 58
"Rv1384" 2439 3068 113 94 2847 2444 183 265
"Rv1385" 276 722 2 6 353 398 26 23
"Rv1386" 1882 2376 28 30 2803 1801 61 60
"Rv1387" 16234 22389 198 338 24472 23624 761 946
"Rv1388" 3289 3960 67 46 4223 3517 138 154
"Rv1389" 4168 6610 38 78 5378 4814 142 146
"Rv1390" 6212 6652 1234 1181 6249 5427 2408 2482
"Rv1391" 4478 6814 671 1185 5399 4624 1742 2293
"Rv1392" 10200 12526 1052 1140 11694 9239 1518 1573
"Rv1393c" 836 808 191 106 754 588 196 194
"Rv1394c" 612 776 252 166 644 495 263 241
"Rv1395" 211 255 24 18 241 164 20 22
"Rv1396c" 2767 6600 787 1591 3590 3424 1579 1780
"Rv1397c" 6410 6694 17433 16049 5678 4555 21758 20569
"Rv1398c" 4590 4589 11339 9961 4533 2696 14022 13839
"Rv1399c" 625 916 17 15 762 627 28 42
"Rv1400c" 1154 1507 12 25 1391 1067 30 49
"Rv1401" 1404 1797 27 38 1506 1249 79 90
"Rv1402" 1481 2864 10 15 1935 1904 38 45
"Rv1403c" 293 339 382 367 280 289 200 239
"Rv1404" 4457 4515 463 402 4443 2971 1096 936
"Rv1405c" 3471 3454 13625 8267 2757 2513 5274 5826
"Rv1406" 640 834 59 63 737 708 97 96
"Rv1407" 709 1281 62 60 889 827 57 84
"Rv1408" 2141 2925 65 40 2387 2102 133 161
"Rv1409" 1818 2553 82 61 2364 1843 156 211
"Rv1410c" 22025 26584 532 456 23660 18790 807 960
"Rv1411c" 9275 9839 330 260 10255 8058 470 434
"Rv1412" 463 562 27 33 538 456 32 36
"Rv1413" 454 533 18 12 603 370 23 21
"Rv1414" 62 123 0 2 103 78 4 4
"Rv1415" 7171 8919 310 269 7691 5625 608 712
"Rv1416" 2414 2814 117 83 2588 2000 192 225
"Rv1417" 1382 1768 15 27 1338 1189 65 82
"Rv1418" 1858 2168 42 43 1830 1363 115 104
"Rv1419" 2076 2347 273 195 2045 1749 354 380
"Rv1420" 4012 4563 240 202 4148 3583 450 544
"Rv1421" 1964 2085 57 45 2231 1709 169 162
"Rv1422" 2637 3499 79 70 3155 2498 260 387
"Rv1423" 1901 2800 29 33 2304 1813 135 123
"Rv1424c" 727 702 26 17 623 458 51 74
"Rv1425" 3076 3085 172 131 3057 2288 347 332
"Rv1426c" 2075 2425 15 8 2094 1863 45 34
"Rv1427c" 2447 3085 26 26 2724 2281 65 65
"Rv1428c" 1132 951 34 25 1144 814 70 46
"Rv1429" 316 351 31 19 367 302 41 43
"Rv1430" 306 372 4 7 450 308 17 20
"Rv1431" 1128 1220 40 24 1318 966 84 71
"Rv1432" 170 261 7 8 226 185 21 19
"Rv1433" 709 611 89 44 734 525 165 177
"Rv1434" 35 48 5 7 49 34 11 12
"Rv1435c" 3919 8534 221 297 5283 5753 396 717
"Rv1436" 11567 12415 60 81 13627 10377 206 236
"Rv1437" 11850 13751 46 30 13398 10473 202 188
"Rv1438" 7084 7246 38 30 7516 5585 113 144
"Rv1439c" 82 120 75 83 105 83 81 66
"Rv1440" 529 655 39 20 598 526 45 57
"Rv1441c" 248 589 11 11 402 464 20 29
"Rv1442" 4266 4857 496 480 4615 3646 589 625
"Rv1443c" 763 840 74 55 736 554 100 151
"Rv1444c" 1021 923 53 43 1119 689 66 91
"Rv1445c" 1216 1502 25 24 1384 1027 58 45
"Rv1446c" 1353 2045 44 30 1662 1438 60 99
"Rv1447c" 4456 5456 149 104 4885 4247 234 261
"Rv1448c" 4667 4819 182 124 5196 4010 258 285
"Rv1449c" 9600 13715 295 299 11711 10824 510 737
"Rv1450c" 41 171 1 1 73 112 3 9
"Rv1451" 4193 5375 281 202 4896 4091 566 730
"Rv1452c" 59 158 1 2 88 90 3 7
"Rv1453" 178 256 41 44 266 217 75 50
"Rv1454c" 1435 1863 55 53 1701 1392 85 77
"Rv1455" 189 215 19 11 194 149 19 26
"Rv1456c" 602 657 32 34 634 475 48 54
"Rv1457c" 1294 1270 17 10 1307 929 23 23
"Rv1458c" 1660 1975 20 37 1891 1588 58 54
"Rv1459c" 1935 2742 64 77 2357 2019 108 126
"Rv1460" 493 782 295 468 575 542 78 109
"Rv1461" 12500 14077 5231 5034 13106 11012 1022 985
"Rv1462" 2527 3644 1178 1318 2813 2663 271 379
"Rv1463" 2111 2407 663 619 2126 1944 114 196
"Rv1464" 2735 3367 859 797 2946 2361 216 294
"Rv1465" 865 1012 262 203 874 738 51 64
"Rv1466" 905 914 277 261 944 681 37 68
"Rv1467c" 708 804 64 54 800 614 103 97
